Instrument-1,Instrument-2,p-value,t-value,critical value,hedge_ratio,Zero_crossings
DOTUSDT,CELOUSDT,0.03,-3.52,-3.37,8.45,42
ORBSUSDT,ANKRUSDT,0.02,-3.64,-3.37,0.75,42
ATAUSDT,TONUSDT,0.0,-4.16,-3.37,0.03,41
BATUSDT,QTUMUSDT,0.0,-4.25,-3.37,0.07,41
BATUSDT,BTCUSDT,0.02,-3.74,-3.37,0.0,39
WUSDT,GMTUSDT,0.02,-3.76,-3.37,2.47,38
FILUSDT,STXUSDT,0.03,-3.51,-3.37,2.97,37
BTCUSDT,WAVESUSDT,0.01,-3.85,-3.37,28001.23,37
ALGOUSDT,NKNUSDT,0.0,-4.32,-3.37,1.57,37
SOLUSDT,CFXUSDT,0.02,-3.76,-3.37,756.06,37
SOLUSDT,STMXUSDT,0.0,-5.91,-3.37,20801.19,37
ORBSUSDT,CVCUSDT,0.0,-4.47,-3.37,0.21,36
1000XECUSDT,THETAUSDT,0.0,-4.29,-3.37,0.02,36
GMTUSDT,NKNUSDT,0.0,-4.9,-3.37,1.94,36
WUSDT,OMGUSDT,0.0,-4.92,-3.37,0.79,35
IOTAUSDT,FLOWUSDT,0.0,-4.42,-3.37,0.24,35
IOTAUSDT,STORJUSDT,0.0,-4.3,-3.37,0.41,35
WUSDT,TLMUSDT,0.04,-3.39,-3.37,31.62,35
MASKUSDT,LITUSDT,0.0,-4.18,-3.37,3.18,35
SXPUSDT,DOGEUSDT,0.03,-3.55,-3.37,2.11,35
JUPUSDT,GALAUSDT,0.0,-4.78,-3.37,25.96,35
C98USDT,ATOMUSDT,0.0,-4.32,-3.37,0.03,34
C98USDT,EGLDUSDT,0.0,-4.17,-3.37,0.01,34
ICPUSDT,CFXUSDT,0.01,-3.8,-3.37,54.88,34
MANAUSDT,LUNA2USDT,0.0,-4.82,-3.37,0.75,34
TRXUSDT,AVAXUSDT,0.04,-3.44,-3.37,0.0,34
BTCUSDT,GALAUSDT,0.05,-3.37,-3.37,1542637.41,34
MANAUSDT,BTCUSDT,0.02,-3.68,-3.37,0.0,33
ICXUSDT,SANDUSDT,0.04,-3.46,-3.37,0.51,33
FILUSDT,PYTHUSDT,0.01,-3.81,-3.37,13.45,33
IOTAUSDT,LUNCUSDT,0.01,-3.9,-3.37,1994.04,33
ENJUSDT,ACHUSDT,0.02,-3.61,-3.37,11.73,33
ENJUSDT,WAXPUSDT,0.0,-4.34,-3.37,5.42,33
SANDUSDT,BTCUSDT,0.04,-3.44,-3.37,0.0,33
DENTUSDT,STGUSDT,0.04,-3.43,-3.37,0.0,33
XRPUSDT,GTCUSDT,0.03,-3.55,-3.37,0.4,33
WUSDT,APTUSDT,0.0,-4.62,-3.37,0.06,32
GMTUSDT,ALGOUSDT,0.03,-3.52,-3.37,1.23,32
MOVRUSDT,LUNA2USDT,0.04,-3.46,-3.37,25.21,32
BOMEUSDT,MEMEUSDT,0.0,-4.42,-3.37,0.47,32
NTRNUSDT,MEMEUSDT,0.03,-3.5,-3.37,25.47,32
EOSUSDT,NEARUSDT,0.01,-4.06,-3.37,0.11,32
BCHUSDT,IMXUSDT,0.03,-3.58,-3.37,203.24,32
1000XECUSDT,QNTUSDT,0.03,-3.49,-3.37,0.0,32
WUSDT,ATOMUSDT,0.03,-3.59,-3.37,0.07,32
BNBUSDT,FTMUSDT,0.0,-4.78,-3.37,734.76,31
JUPUSDT,ICXUSDT,0.0,-4.42,-3.37,5.08,31
IOTAUSDT,STGUSDT,0.01,-4.0,-3.37,0.45,31
MOVRUSDT,USDCUSDT,0.03,-3.56,-3.37,15.35,31
COTIUSDT,SOLUSDT,0.03,-3.49,-3.37,0.0,31
APEUSDT,LQTYUSDT,0.04,-3.47,-3.37,1.15,30
DENTUSDT,LUNA2USDT,0.01,-3.83,-3.37,0.0,30
BOMEUSDT,LEVERUSDT,0.0,-4.42,-3.37,3.56,30
ATAUSDT,EGLDUSDT,0.01,-3.85,-3.37,0.0,30
IOTAUSDT,BTCUSDT,0.02,-3.73,-3.37,0.0,30
TRXUSDT,QNTUSDT,0.0,-4.68,-3.37,0.0,30
LTCUSDT,ANKRUSDT,0.03,-3.53,-3.37,1853.36,30
WUSDT,LOOKSUSDT,0.01,-4.03,-3.37,5.94,30
ICPUSDT,THETAUSDT,0.0,-4.62,-3.37,5.29,30
WLDUSDT,INJUSDT,0.01,-3.8,-3.37,0.18,30
LRCUSDT,LUNA2USDT,0.0,-4.53,-3.37,0.46,30
ADAUSDT,FTMUSDT,0.02,-3.7,-3.37,0.57,30
1000XECUSDT,SUIUSDT,0.03,-3.49,-3.37,0.05,29
XRPUSDT,DOGEUSDT,0.01,-3.91,-3.37,3.2,29
VETUSDT,FTMUSDT,0.03,-3.49,-3.37,0.04,29
SUSHIUSDT,DOGEUSDT,0.02,-3.62,-3.37,7.4,29
HOTUSDT,C98USDT,0.04,-3.43,-3.37,0.01,29
BNBUSDT,GLMUSDT,0.04,-3.41,-3.37,1146.1,29
DENTUSDT,MANAUSDT,0.02,-3.74,-3.37,0.0,29
JUPUSDT,LUNA2USDT,0.01,-3.82,-3.37,1.9,29
BTCUSDT,NEOUSDT,0.01,-3.97,-3.37,4473.31,29
STRKUSDT,ARBUSDT,0.01,-3.91,-3.37,1.05,29
STRKUSDT,SUSHIUSDT,0.03,-3.51,-3.37,1.01,29
LRCUSDT,SOLUSDT,0.03,-3.55,-3.37,0.0,29
LUNCUSDT,BTCUSDT,0.02,-3.7,-3.37,0.0,28
ICPUSDT,LOOMUSDT,0.04,-3.4,-3.37,143.56,28
ICPUSDT,QNTUSDT,0.01,-4.09,-3.37,0.13,28
MANAUSDT,GALAUSDT,0.04,-3.47,-3.37,10.27,28
ICPUSDT,FTMUSDT,0.02,-3.61,-3.37,15.04,28
1000XECUSDT,RVNUSDT,0.0,-4.13,-3.37,1.63,28
QTUMUSDT,FTMUSDT,0.04,-3.42,-3.37,4.57,28
ZILUSDT,APTUSDT,0.01,-3.92,-3.37,0.0,28
WUSDT,C98USDT,0.02,-3.61,-3.37,2.23,28
